Cuda is not available.

Mouse , Patch ID , Met ID , True Label , Predicted Label , Certainty
IC6dn2 , 1311 , 2 , true positive , false positive , 52.4
IC6dn2 , 1366 , 1 , false positive , true positive , 53.2
IC6dn2 , 1367 , 0 , false positive , true positive , 85.6
IC6dn2 , 1457 , 0 , false positive , true positive , 66.0
IC6dn2 , 1457 , 1 , false positive , true positive , 92.3
IC6dn2 , 1478 , 0 , false positive , true positive , 62.4
IC6dn2 , 1563 , 0 , true positive , false positive , 76.2
IC6dn2 , 2865 , 0 , true positive , false positive , 55.3
IC6dn2 , 1107 , 1001 , true positive , false positive , 68.7
IC6dn2 , 1107 , 1004 , true positive , false positive , 87.2
IC6dn2 , 1136 , 1000 , true positive , false positive , 56.2
IC6dn2 , 1193 , 1001 , false positive , true positive , 90.5
IC6dn2 , 1193 , 1004 , true positive , false positive , 74.7
IC6dn2 , 1200 , 1002 , true positive , false positive , 65.6
IC6dn2 , 1200 , 1003 , true positive , false positive , 58.0
IC6dn2 , 1226 , 1004 , false positive , true positive , 52.5
IC6dn2 , 1226 , 1006 , false positive , true positive , 59.6
IC6dn2 , 1282 , 1008 , true positive , false positive , 61.7
IC6dn2 , 1290 , 1001 , false positive , true positive , 55.6
IC6dn2 , 1290 , 1008 , true positive , false positive , 63.7
IC6dn2 , 1045 , 1000 , true positive , false positive , 60.2
IC14dn1 , 1193 , 4 , true positive , false positive , 70.8
IC14dn1 , 1266 , 0 , true positive , false positive , 59.7
IC14dn1 , 1347 , 2 , false positive , true positive , 57.6
IC14dn1 , 1442 , 6 , true positive , false positive , 51.8
IC14dn1 , 1451 , 1 , true positive , false positive , 61.9
IC14dn1 , 1458 , 1 , true positive , false positive , 73.9
IC14dn1 , 1467 , 3 , true positive , false positive , 67.6
IC14dn1 , 1530 , 0 , false positive , true positive , 53.7
IC14dn1 , 1637 , 0 , false positive , true positive , 56.3
IC14dn1 , 1962 , 4 , true positive , false positive , 74.1
IC14dn1 , 1990 , 2 , false positive , true positive , 56.5
IC14dn1 , 2428 , 1 , true positive , false positive , 59.1
IC14dn1 , 2532 , 0 , false positive , true positive , 66.7
IC14dn1 , 1522 , 1002 , true positive , false positive , 77.8
IC14dn1 , 1522 , 1006 , true positive , false positive , 59.8
IC14dn1 , 1636 , 1001 , true positive , false positive , 58.3
IC14dn1 , 1467 , 1000 , true positive , false positive , 72.8
IC14dn1 , 1467 , 1001 , true positive , false positive , 85.1
IC14dn1 , 1450 , 1004 , false positive , true positive , 70.0
IC14dn1 , 1449 , 1004 , false positive , true positive , 95.1
IC14dn1 , 1362 , 1004 , true positive , false positive , 62.6
IC14dn1 , 1353 , 1001 , true positive , false positive , 65.6
IC14dn1 , 1265 , 1000 , false positive , true positive , 97.9
MCF7IC21dn528 , 272 , 3 , true positive , false positive , 65.4
MCF7IC21dn528 , 626 , 0 , true positive , false positive , 71.0
MCF7IC21dn528 , 1249 , 4 , true positive , false positive , 64.3
MCF7IC21dn528 , 1362 , 0 , true positive , false positive , 54.9
MCF7IC21dn528 , 1373 , 0 , true positive , false positive , 71.2
MCF7IC21dn528 , 1378 , 0 , true positive , false positive , 66.4
MCF7IC21dn528 , 1378 , 2 , true positive , false positive , 51.9
MCF7IC21dn528 , 1482 , 0 , true positive , false positive , 50.9
MCF7IC21dn528 , 1483 , 0 , false positive , true positive , 77.7
MCF7IC21dn528 , 1489 , 3 , true positive , false positive , 62.2
MCF7IC21dn528 , 1491 , 1 , true positive , false positive , 68.8
MCF7IC21dn528 , 1491 , 2 , true positive , false positive , 80.6
MCF7IC21dn528 , 1529 , 1 , true positive , false positive , 73.3
MCF7IC21dn528 , 1634 , 0 , true positive , false positive , 69.5
MCF7IC21dn528 , 1634 , 1 , true positive , false positive , 52.2
MCF7IC21dn528 , 1634 , 4 , true positive , false positive , 58.3
MCF7IC21dn528 , 1707 , 0 , true positive , false positive , 62.7
MCF7IC21dn528 , 1738 , 0 , true positive , false positive , 52.7
MCF7IC21dn528 , 1739 , 0 , true positive , false positive , 63.7
MCF7IC21dn528 , 2049 , 1 , true positive , false positive , 79.8
MCF7IC21dn528 , 2386 , 1 , true positive , false positive , 58.1
MCF7IC21dn528 , 2666 , 0 , true positive , false positive , 54.9
MCF7IC21dn528 , 2771 , 0 , true positive , false positive , 60.8
MCF7IC21dn528 , 2845 , 0 , true positive , false positive , 50.9
MCF7IC21dn528 , 2890 , 1 , false positive , true positive , 87.0
MCF7IC21dn528 , 2939 , 1 , true positive , false positive , 50.2
MCF7IC21dn528 , 3938 , 0 , true positive , false positive , 58.8
PC14dn04595 , 1243 , 0 , false positive , true positive , 58.5
PC14dn04595 , 1363 , 0 , false positive , true positive , 95.5
PC14dn04595 , 1473 , 0 , false positive , true positive , 63.6
PC14dn04595 , 2441 , 3 , true positive , false positive , 53.9
PC14dn04595 , 2662 , 3 , true positive , false positive , 64.7
