Mouse: H2030IC10dn573 , Patch: 50 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1178 , Met: 5 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1178 , Met: 6 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1179 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1179 , Met: 2 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1179 , Met: 3 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1179 , Met: 6 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1181 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1186 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1187 , Met: 0 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1193 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1193 , Met: 1 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1194 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1194 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1197 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1202 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1202 , Met: 8 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1203 , Met: 5 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1203 , Met: 11 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1203 , Met: 13 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1203 , Met: 15 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1203 , Met: 16 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1203 , Met: 19 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1203 , Met: 21 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1203 , Met: 22 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1203 , Met: 23 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1204 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1206 , Met: 2 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1211 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1211 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1211 , Met: 2 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1211 , Met: 4 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1211 , Met: 5 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1211 , Met: 6 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1211 , Met: 8 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1273 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1274 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1274 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1275 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1281 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1281 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1281 , Met: 2 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1281 , Met: 3 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1281 , Met: 4 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1282 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1282 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1282 , Met: 2 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1282 , Met: 3 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1282 , Met: 4 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1282 , Met: 5 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1282 , Met: 6 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1283 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1283 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1283 , Met: 2 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1284 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1289 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1289 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1289 , Met: 2 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1289 , Met: 3 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1290 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1290 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1291 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1291 , Met: 1 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1297 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1305 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1305 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1314 , Met: 0 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1314 , Met: 1 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1315 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1315 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1378 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1386 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1393 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1394 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1394 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1395 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1401 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1401 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1401 , Met: 2 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1401 , Met: 3 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1402 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1402 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1402 , Met: 2 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1402 , Met: 3 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1402 , Met: 4 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1402 , Met: 6 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1402 , Met: 7 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1412 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1413 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1490 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1498 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1498 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1499 , Met: 0 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1499 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1506 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1506 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1507 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1509 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1514 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1514 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1514 , Met: 2 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1515 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1515 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1517 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1517 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1532 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1594 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1594 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1594 , Met: 2 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1595 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1595 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1595 , Met: 2 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1595 , Met: 3 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1595 , Met: 4 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1595 , Met: 5 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1603 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1620 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1620 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1690 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1693 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1699 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1715 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1734 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1918 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1931 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1942 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1994 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 2005 , Met: 0 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 2011 , Met: 0 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 2018 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 2027 , Met: 0 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 2036 , Met: 0 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 2059 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 2146 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 2154 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 2226 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 2226 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 2234 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 2234 , Met: 1 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 2267 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 2334 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 2346 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 2678 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 454 , Met: 999 , Label: true positive
Mouse: IC2dn2 , Patch: 278 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 294 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 534 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 832 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 845 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 849 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 849 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 859 , Met: 0 , Label: false positive
Mouse: IC2dn2 , Patch: 859 , Met: 1 , Label: false positive
Mouse: IC2dn2 , Patch: 912 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 928 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 928 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 992 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 992 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 992 , Met: 2 , Label: true positive
Mouse: IC2dn2 , Patch: 992 , Met: 3 , Label: true positive
Mouse: IC2dn2 , Patch: 992 , Met: 4 , Label: true positive
Mouse: IC2dn2 , Patch: 993 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 993 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 993 , Met: 2 , Label: true positive
Mouse: IC2dn2 , Patch: 1001 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1001 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1008 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1008 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1016 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1018 , Met: 0 , Label: false positive
Mouse: IC2dn2 , Patch: 1018 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1057 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1058 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1064 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1065 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1065 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1066 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1066 , Met: 1 , Label: false positive
Mouse: IC2dn2 , Patch: 1066 , Met: 2 , Label: false positive
Mouse: IC2dn2 , Patch: 1066 , Met: 3 , Label: true positive
Mouse: IC2dn2 , Patch: 1072 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1072 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1073 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1073 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1080 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1080 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1080 , Met: 2 , Label: true positive
Mouse: IC2dn2 , Patch: 1091 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1099 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1138 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1145 , Met: 2 , Label: true positive
Mouse: IC2dn2 , Patch: 1145 , Met: 3 , Label: true positive
Mouse: IC2dn2 , Patch: 1146 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1146 , Met: 3 , Label: true positive
Mouse: IC2dn2 , Patch: 1152 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1161 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1161 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1162 , Met: 0 , Label: false positive
Mouse: IC2dn2 , Patch: 1164 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1164 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1170 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1170 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1171 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1172 , Met: 0 , Label: false positive
Mouse: IC2dn2 , Patch: 1217 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1218 , Met: 2 , Label: true positive
Mouse: IC2dn2 , Patch: 1225 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1226 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1226 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1227 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1234 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1236 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1236 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1237 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1237 , Met: 3 , Label: true positive
Mouse: IC2dn2 , Patch: 1245 , Met: 1 , Label: false positive
Mouse: IC2dn2 , Patch: 1252 , Met: 2 , Label: true positive
Mouse: IC2dn2 , Patch: 1253 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1297 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1298 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1298 , Met: 5 , Label: true positive
Mouse: IC2dn2 , Patch: 1299 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1321 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1322 , Met: 0 , Label: false positive
Mouse: IC2dn2 , Patch: 1401 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1401 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1402 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1409 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1410 , Met: 2 , Label: true positive
Mouse: IC2dn2 , Patch: 1410 , Met: 3 , Label: true positive
Mouse: IC2dn2 , Patch: 1458 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1480 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1481 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1482 , Met: 1 , Label: false positive
Mouse: IC2dn2 , Patch: 1485 , Met: 0 , Label: false positive
Mouse: IC2dn2 , Patch: 1488 , Met: 0 , Label: false positive
Mouse: IC2dn2 , Patch: 1490 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1491 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1491 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1496 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1497 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1538 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1562 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1568 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1569 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1570 , Met: 1 , Label: false positive
Mouse: IC2dn2 , Patch: 1570 , Met: 2 , Label: false positive
Mouse: IC2dn2 , Patch: 1642 , Met: 0 , Label: false positive
Mouse: IC2dn2 , Patch: 1643 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1691 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1692 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1706 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1728 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1728 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 1736 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1777 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 1827 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 2122 , Met: 0 , Label: true positive
Mouse: IC2dn2 , Patch: 2146 , Met: 1 , Label: true positive
Mouse: IC2dn2 , Patch: 2154 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 525 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 534 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 534 , Met: 1 , Label: true positive
Mouse: IC6dn1 , Patch: 613 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 622 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 623 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 709 , Met: 0 , Label: false positive
Mouse: IC6dn1 , Patch: 709 , Met: 1 , Label: true positive
Mouse: IC6dn1 , Patch: 709 , Met: 2 , Label: true positive
Mouse: IC6dn1 , Patch: 710 , Met: 1 , Label: true positive
Mouse: IC6dn1 , Patch: 718 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 718 , Met: 1 , Label: false positive
Mouse: IC6dn1 , Patch: 725 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 725 , Met: 1 , Label: true positive
Mouse: IC6dn1 , Patch: 726 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 726 , Met: 1 , Label: true positive
Mouse: IC6dn1 , Patch: 726 , Met: 2 , Label: false positive
Mouse: IC6dn1 , Patch: 726 , Met: 3 , Label: true positive
Mouse: IC6dn1 , Patch: 894 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 909 , Met: 0 , Label: false positive
Mouse: IC6dn1 , Patch: 1093 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 1099 , Met: 0 , Label: false positive
Mouse: IC6dn1 , Patch: 1192 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 1201 , Met: 1 , Label: true positive
Mouse: IC6dn1 , Patch: 1201 , Met: 2 , Label: true positive
Mouse: IC6dn1 , Patch: 1201 , Met: 3 , Label: true positive
Mouse: IC6dn1 , Patch: 1201 , Met: 4 , Label: true positive
Mouse: IC6dn1 , Patch: 1202 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 1202 , Met: 1 , Label: true positive
Mouse: IC6dn1 , Patch: 1209 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 1209 , Met: 1 , Label: true positive
Mouse: IC6dn1 , Patch: 1267 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 1274 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 1274 , Met: 1 , Label: true positive
Mouse: IC6dn1 , Patch: 1288 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 1288 , Met: 2 , Label: true positive
Mouse: IC6dn1 , Patch: 1288 , Met: 3 , Label: true positive
Mouse: IC6dn1 , Patch: 1289 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 1290 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 1291 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 1296 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 1296 , Met: 1 , Label: true positive
Mouse: IC6dn1 , Patch: 1296 , Met: 2 , Label: true positive
Mouse: IC6dn1 , Patch: 1296 , Met: 3 , Label: true positive
Mouse: IC6dn1 , Patch: 1296 , Met: 5 , Label: true positive
Mouse: IC6dn1 , Patch: 1296 , Met: 6 , Label: true positive
Mouse: IC6dn1 , Patch: 1296 , Met: 7 , Label: true positive
Mouse: IC6dn1 , Patch: 1296 , Met: 8 , Label: true positive
Mouse: IC6dn1 , Patch: 1296 , Met: 9 , Label: true positive
Mouse: IC6dn1 , Patch: 1296 , Met: 10 , Label: true positive
Mouse: IC6dn1 , Patch: 1296 , Met: 11 , Label: true positive
Mouse: IC6dn1 , Patch: 1296 , Met: 12 , Label: true positive
Mouse: IC6dn1 , Patch: 1296 , Met: 14 , Label: true positive
Mouse: IC6dn1 , Patch: 1297 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 1297 , Met: 1 , Label: true positive
Mouse: IC6dn1 , Patch: 1297 , Met: 2 , Label: true positive
Mouse: IC6dn1 , Patch: 1297 , Met: 3 , Label: true positive
Mouse: IC6dn1 , Patch: 1298 , Met: 0 , Label: true positive
Mouse: IC6dn1 , Patch: 1298 , Met: 1 , Label: true positive
Mouse: IC6dn1 , Patch: 1298 , Met: 2 , Label: true positive
Mouse: IC6dn1 , Patch: 1298 , Met: 3 , Label: true positive
Mouse: IC6dn1 , Patch: 1298 , Met: 4 , Label: true positive
